Name_source,Name_English,Name_Indo,Name_Other,Manager,Investor_1,Investor_2,Sources
Kabil Integrated Industrial Park,Kabil Integrated Industrial Park,,,PT. Kabil Indonusa Estate,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://www.kcn.co.id/"
West Point Maritime Industrial Park,West Point Maritime Industrial Park,,,PT. Batam Sentralindo,Sinopec,,"https://www.trenasia.com/westpoint-maritime-industrial-park-wmip-supports-oil-and-gas-investment-in-ftz-batam
http://www.sinopec.com.hk/en/getNewsDetailAction.do?target=GuandeNews&key=0CB5E06342EE06BF0A51718D677BB0AE
https://www.trenasia.com/sinopec-realisasikan-proyek-depo-minyak-di-batam-rp12-triliun"
Executive Industrial Park,Executive Industrial Park,,,PT. Bumi Abadi Tegar Sakti,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://batampro.com/property/dijual-gudang-industri-di-kara-industrial-park-batam/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan "
Sarana Industrial Point (SIP),Sarana Industrial Point (SIP),,,PT. Pertama Sarana Unggulan,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
https://www.psubatam.com
http://psubatam.com/id/profile/facilities/10-factories/24-type-a.html"
Kawasan Industri Sekupang Makmur Abadi / Sekupang Logistic,,Kawasan Industri Sekupang Makmur Abadi,Sekupang Logistic,PT. Sekupang Makmur Abadi,,,"(Broken) https://direktori.batam.go.id/index.php/bn/ads/584ccb717f5ad/kawasan_industri_berat/Sekupang-Logistics
https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://www.linkedin.com/company/pt-sekupang-makmur-abadi/about/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
http://www.sekupanglogistics.com/ "
Cammo Industrial Park,Cammo Industrial Park,,,PT. Aaman Properti,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Broken) https://direktori.batam.go.id/index.php/id/ads/584bd92248964/Kawasan-Industri-Ringan/Cammo-Industrial-Park
https://kfmap.asia/industrial/cammo-industrial-park-13158
https://batamnow.com/gawat-setrum-bright-pln-batam-byar-pet-mulai-ganggu-operasional-industri/"
Citra Buana Industrial Park I,Citra Buana Industrial Park I,,,PT. Citra Buana Prakarsa,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
http://citrabuanaprakarsa.com/"
Citra Buana Industrial Park II,Citra Buana Industrial Park II,,,PT. Citra Buana Batam Industri,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
http://citrabuanaprakarsa.com//"
Citra Buana Industrial Park III,Citra Buana Industrial Park III,,,PT. Citra Buana Prakarsa,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
http://citrabuanaprakarsa.com/"
Hijrah Industrial Park,Hijrah Industrial Park,,,PT. Hijrah Karya Mandiri,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan "
Indah Industrial Park,Indah Industrial Park,,, PT. Teluk Pantaian Indah,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Broken) https://direktori.batam.go.id/index.php/id/ads/584c924e2a3e0/Kawasan-Industri-Ringan/Indah-Industrial-Park
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan "
Kara Industrial Park,Kara Industrial Park,,,PT. Kara Primanusa,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://kfmap.asia/industrial/kara-industrial-park-13164
(Broken) https://direktori.batam.go.id/index.php/id/ads/584ca0670203f/Kawasan-Industri-Ringan/Kara-Indrustrial-Park"
Kawasan Industri Malindo Cipta Perkasa,,Kawasan Industri Malindo Cipta Perkasa,,PT. Malindo Cipta Perkasa,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Archived link, 7/5/22) https://web.archive.org/web/20220705130949/https://pusbang.bpbatam.go.id/detailpost/profil-malindo-industrial-park
"
Mega Cipta Industrial Park,Mega Cipta Industrial Park,,,PT. Mega Cipta Adi Persada,,,"https://kfmap.asia/industrial/mega-cipta-industrial-park-13350
https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Broken) https://direktori.batam.go.id/index.php/id/ads/584cc0cf47025/Kawasan-Industri-Ringan/Megacipta-Industrial-Park
https://www.facebook.com/PTPLNBatam/photos/a.520091768021400/2520930327937524/?type=3"
Taiwan International Park,Taiwan International Park,,,PT. Sigma United Internasional,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://business-indonesia.org/files/estates/qygTcIsOTjUDMQU2qcqx7MEOejKDmVcruYVgPC8h.pdf"
Tunas Industri Kabil,,Tunas Industri Kabil,,PT. Rancha Cakra Semestas,,,"https://tunasindustrial.com/en/tenants/
https://tunasindustrial.com/en/tunas-kabil-industrial/
https://tunasindustrial.com/en/about-us/
https://tunasproperty.com/en/about/tunas-group-overview"
Jakarta Industrial Estate Pulogadung,Jakarta Industrial Estate Pulogadung,,,PT. Jakarta Industrial Estate Pulogadung,,,"(Archived link, 12/1/23) https://web.archive.org/web/20231201221329/https://jiep.co.id/our-tenant/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
http://www.jiep.co.id
https://directorsdirectory.com/jakarta-industrial-estate-pulogadung/
(Archived link, 12/1/23) https://web.archive.org/web/20231201235245/https://jiep.co.id/jv/our-regulation-2/
https://drive.google.com/file/d/1HcfXy_hNzXBILSewe02a8fSKIY3lVrI9/view
https://business-indonesia.org/files/estates/mHSCa5oDg194uovbNzHWNjGMCrG1JzRiKMivRm20.pdf"
Kawasan Berikat Nusantara,,Kawasan Berikat Nusantara,,PT. Kawasan Berikat Nusantara,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
http://www.kbn.co.id/
https://directorsdirectory.com/kawasan-berikat-nusantara/
http://kbn.co.id/welcome/konten_depan/view/6011"
Kawasan Industri Terpadu Indonesia China,,Kawasan Industri Terpadu Indonesia China,,PT. Kawasan Industri Terpadu Indonesia China,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
https://en.kitic.net/Company.html
https://en.kitic.net/intro/12.html
https://business-indonesia.org/files/estates/a68niiGhDJubv1wXhAdwZZxVnfhKo5bhLjP3xgx5.pdf"
Bekasi International Industrial Estate,Bekasi International Industrial Estate,,,PT. Hyundai Inti Development,Hyundai,,"https://www.kawasanindustri.net/daftar-nama-alamat-pt-di-kawasan-industri-hyundai-lippo-cikarang.html
https://www.daftar.co/perusahaan-di-kawasan-hyundai/
https://directorsdirectory.com/bekasi-international-industrial-estate/
(Archived link, 5/6/21) https://web.archive.org/web/20210506023202/https://news.klikbekasi.co/2015/10/22/terbukti-kawasan-industri-hyundai-bekasi-cemari-lingkungan/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
https://www.linkedin.com/company/kawasan-industri-hyundai/about/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.listrindo.com/ind/service/"
MM2100 Industrial Town Bekasi Fajar Industrial Estate (BFIE),MM2100 Industrial Town Bekasi Fajar Industrial Estate (BFIE),,,"PT. Bekasi Fajar Industrial Estate, PT. Bekasi Mitra IE, PT. Bekasi Surya Pratama",Marubeni,,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sjtg.12177
https://www.marubeni.com/en/news/2021/info/00021.html
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
http://befa.id/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.listrindo.com/service/mm2100
https://business-indonesia.org/files/estates/inbSO5QREDsCsDFjHymS89GKuJeETpWZbUGpjbJF.pdf
https://befa.id/wp-content/uploads/2023/04/2022.pdf
https://www.listrindo.com/service"
MM2100 Industrial Town MMID,MM2100 Industrial Town MMID,,,PT. Megalopolis Manunggal Ind. Dev.,Marubeni,,"https://www.marubeni.com/en/news/2021/info/00021.html
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
https://mm2100.co.id/our-project/
https://webapp.mmsplatform.co.id/company
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.listrindo.com/service/mm2100
https://business-indonesia.org/files/estates/DbbXZa0uvQyLDGl5QHjt7hFWHKLQDLbNaSf8qH65.pdf
https://www.listrindo.com/service"
Kawasan Industri Jababeka,,Kawasan Industri Jababeka,,PT. Jababeka Infrastruktur,,,"https://www.kilaskerja.com/2021/09/perusahaan-jababeka.html
https://www.dailytips.id/2020/03/553-daftar-perusahaan-di-kawasan.html
https://www.daftar.co/alamat-perusahaan-di-kawasan-jababeka/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.jababeka.com/industrial
https://jababekaindustrial.com/
https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.gem.wiki/Jababeka_Industrial_Estate_power_station
https://www.gem.wiki/Bekasi_power_station
https://www.jababeka.com/infrastructure/ 
https://www.jababeka.com/wp-content/uploads/2023/05/KIJA-ASR-2022.pdf 
https://www.listrindo.com/
https://universitaspertamina.ac.id/berita/detail/bangun-plts-di-kawasan-industri-jababeka-pertamina-dukung-net-zero-industrial-cluster-pertama-di-asia-tenggara "
East Jakarta Industrial Park,East Jakarta Industrial Park,,,PT. East Jakarta Industrial Park,Sumitomo,,"https://directorsdirectory.com/east-jakarta-industrial-park/
https://www.ejip.co.id/
https://www.ejip.co.id/en/facilities/electricity
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.listrindo.com/service"
Kawasan Industri Gobel,,Kawasan Industri Gobel,,PT. Gobel Dharma Nusantara,,,"https://www.google.com/maps/search/Gobel+Cibitung+Industrial+Estate/@-6.2657438,107.0877133,18z 
https://www.linkedin.com/company/gobel-dharma-nusantara/about/
(Archived link, 8/9/17) https://web.archive.org/web/20170809234808/https://www.bkpm.go.id/images/uploads/investasi_indonesia/file/Data_of_Major_Indonesia_Industrial_Estate_West_Java.pdf
https://directorsdirectory.com/gobel-industrial-estate/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
https://gdn.co.id/
(Archived link, 6/30/22) https://web.archive.org/web/20220630095203/https://investasi.jabarprov.go.id/public/industries/kawasan-industry-gobel"
Kawasan Industri Marunda Center,,Kawasan Industri Marunda Center,,"PT. Tegar Primajaya, PT. Multikarya Hasilprima",,,"https://visualanaknegeri.net/preview/marundadc/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://marundacenter.co.id/en/index
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://realty.ddgroup.co.id/property/2/gudang-marunda-center.html "
Greenland International Industrial Center (GIIC),Greenland International Industrial Center (GIIC),,,"PT. Puradelta Lestari Tbk, PT. Pembangunan Deltamas",Sojitz,,"https://deltamas.id/wp-content/uploads/2022/05/ARSR-PT-Puradelta-Lestari-Tbk-2021.pdf
https://www.thejakartapost.com/adv/2022/11/08/answering-the-need-for-national-data-centers.html
https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sjtg.12177
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
http://www.kota-deltamas.com
https://deltamas.id/en/product-industrial/
https://www.sinarmasland.com/development/industrial/greenland-international-industrial-center
https://deltamas.id/wp-content/uploads/2023/05/eBrochure-GIIC-2023.pdf
https://business-indonesia.org/files/estates/R1QzjL2LMvJHo5gRdAnLCrRflVkq5DutfoSM0BxX.pdf
https://w.media/indonesias-utility-pln-collaborates-with-greenland-international-industrial-centre-giic-kota-deltamas-industrial-area-for-countrys-first-national-dc/"
Kawasan Industri Lippo Cikarang,,Kawasan Industri Lippo Cikarang,,PT. Lippo Cikarang Tbk,,,"https://www.lippocikarang.co.id/project/delta-silicon-industrial-park/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.lippo-cikarang.com/en/home-2/
(Broken) https://www.property-lippocikarang.com/lippo-cikarang-industrial-park/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.listrindo.com/service"
Cibinong Center Industrial Estate,Cibinong Center Industrial Estate,,,PT. Cibinong Center Industrial Estate,,,"https://www.indocement.co.id/Tentang-Kami/Struktur-Grup-Perusahaan/Entitas-Asosiasi
https://directorsdirectory.com/cibinong-center-industrial-estate/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://business-indonesia.org/files/estates/Q86ckL1jYI1gxDXS39x3AjdCJV0SY8Q3iZyWakEQ.pdf"
Kawasan Industri Sentul,,Kawasan Industri Sentul,,PT. Bogorindo Cemerlang,,,"https://www.youtube.com/watch?v=B1tLp58yJVE
https://directorsdirectory.com/sentul-industrial-estate/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
https://www.olympic-kis.com"
Kawasan Industri Indotaisei (Kota Bukit Indah),,Kawasan Industri Indotaisei (Kota Bukit Indah),,PT. Indotaisei Indah Development  ,Taisei,,"https://industrialestateindonesia.com/files/estates/wElUtkWRRs8MPxgn1sF2olLZGb6QuZvUlo7Z5fEE.pdf
https://www.kotabukitindah.com/products/industrial-land
https://www.taisei-techsolu.jp/english/solution/o_indonesia/
https://klikalamat.com/daftar-pabrik-kawasan-industri-indotaisei-cikampek?tevolution_sortby=title_asc
https://www.youtube.com/watch?v=H4mNrnIthSI&ab_channel=AdhepeChannel
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
https://www.kotabukitindah.com/profile/existing-tenants
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://directorsdirectory.com/kota-bukit-indah-industrial-estate/
https://business-indonesia.org/files/estates/wElUtkWRRs8MPxgn1sF2olLZGb6QuZvUlo7Z5fEE.pdf"
Kawasan Industri Kujang Cikampek,,Kawasan Industri Kujang Cikampek,,PT. Kawasan Industri Kujang Cikampek,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.kikc.co.id/
https://directorsdirectory.com/kujang-industrial-estate/
https://bandung.bisnis.com/read/20230818/550/1686089/progres-pembangunan-pabrik-katalis-di-kikc-memasuki-tahap-penyelesaian
https://www.pupuk-kujang.co.id/index.php/pengembangan-bisnis/anak-perusahaan-afiliasi
https://dutapriangan.co.id/penuhi-suplay-energi-listrik-pt-pupuk-kujang-gunakan-plts/
https://business-indonesia.org/files/estates/ESwVfe0IOlJipLUSKqQokgbRb62OwAMOm6ToMY19.pdf"
Kawasan Industri Mitrakarawang,,Kawasan Industri Mitrakarawang,,PT. Mitra Karawang Jaya,,,"https://business-indonesia.org/files/estates/plJX2H9n5yEg8KIHJFo1rhU5rIW4VQTvtHtBWCrW.pdf
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.kikc.co.id/
http://www.mitrakarawang.com/
https://directorsdirectory.com/kawasan-industri-mitra-karawang/"
Karawang International Industrial City,Karawang International Industrial City,,,"PT. Maligi Permata Industrial Estate, PT Karawang Tatabina Industrial Estate, PT Harapan Anang Bakri & Sons",Itochu,,"https://www.alamatelpon.com/2022/06/perusahaan-otomotif-di-kiic-karawang.html - from June 2022, includes automotive companies
https://klikalamat.com/database-pabrik-kawasan-indutri-kiic-karawang# 
https://www.kawasanindustri.net/daftar-perusahaan-di-kawasan-industri-kiic-karawang.html
https://www.daftar.co/perusahaan-di-kawasan-kiic-karawang/
https://kiic.co.id/news/expansion-site-110ha-phase-5-construction-completed/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.kiic.co.id/
https://www.jakartadaily.id/market-finance/pr-1621724871/karawang-international-industry-city-and-sun-energy-sign-agreement-on-renewable-energy-use
https://sunenergy.id/kiic
"
Suryacipta IE / Suryacipta City of Industry,Suryacipta City of Industry,,Suryacipta Industrial Estate,PT. Suryacipta Swadaya,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
https://www.suryacipta.com
https://directorsdirectory.com/suryacipta-city-of-industry/
https://mediaindonesia.com/humaniora/474061/kawasan-industri-suryacipta-kian-berkomitmen-gunakan-plts-atap
https://idbgbf.org/assets/2017/9/27/pdf/b598434a-4c7e-4cba-9323-5a6ec5fbd9b3.pdf
https://suryacipta.com/en/karawang/"
Podomoro Industrial Park,Podomoro Industrial Park,,,PT. Alam Makmur Indah,,,"https://www.youtube.com/watch?v=roYUeZJvQZc&ab_channel=PodomoroIndustrialPark
https://www.liputan6.com/saham/read/737584/anak-usaha-agung-podomoro-jual-lahan-ke-perusahaan-taiwan
https://market.bisnis.com/read/20150115/192/391394/akhirnya-agung-podomoro-bangun-kawasan-industri-di-karawang
https://www.agungpodomoroland.com/assets/content/images/Disclosure%20of%20Information%20regarding%20Deed%20of%20Sale%20and%20Purchase%20Agreement%20in%20PT%20Buana%20Makmur%20Indah.pdf
https://www.agungpodomoro.com/group/en/project/podomoro-industrial-park#:~:text=Podomoro%20Industrial%20Park%20is%20an,access%20via%20Karawang%20Barat%20Interchange.
https://directorsdirectory.com/podomoro-industrial-park/"
Kawasan Industri Artha Industrial Hill,Kawasan Industri Artha Industrial Hill,,,"PT. Daya Kencanasia, PT. Karawang Cipta Persada",,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://aih.co.id/
(Archived link, 3/16/22) https://web.archive.org/web/20220316170138/https://jabar.pojoksatu.id/pantura/2022/01/26/pt-lsag-cable-indonesia-buka-pabrik-di-kawasan-artha-industrial-hills-karawang/
https://directorsdirectory.com/artha-industrial-hill/"
Kawasan Industri GT Tech Park,,Kawasan Industri GT Tech Park,,PT. Bintang Puspita Dwikarya,,,"(Archived link, 5/8/20) https://web.archive.org/web/20200508142817/http://geoportal.kemenperin.go.id:80/jelajah/
https://directorsdirectory.com/gt-tech-park-bintang-puspita-dwikarya/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan"
Karawang New Industrial City,Karawang New Industrial City,,,PT. CFLD Karawang New Industry City Development,China Fortune Land Development,,"https://madeinindonesia.com/images/minisite/itpc_uae/KARAWANG%20NEW%20INDUSTRY%20CITY.pdf
https://ekonomi.bisnis.com/read/20190626/47/937828/china-fortune-land-bangun-wilayah-industri-baru-di-karawang
https://www.instagram.com/knic_karawang/?hl=en
https://regional.kontan.co.id/news/pengembangan-karawang-new-industry-city-dimulai
https://www.kedglobal.com/batteries/newsView/ked202109150012
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
https://www.knic.co.id
https://knic.co.id/uploads/6/brochure/knic-brochure-english-lo.pdf"
