Industrial Park Name,Name (Ministry),Manager (Ministry),Location English,Regency,Province,Size (ha),Latitude,Longitude,Location Notes,General Background,Electricity Provider,Captive Coal Power Plant,Captive Gas Power Plant,Electricity Capacity Notes,Electricity Capacity (MW),Planned Electricity Capacity,Estimated Electricity Capacity (MW),Website,Tenants,Additional Sources,Foreign Founder or Manager,Foreign Tenants,Foreign Company Involvement Notes,Status Notes,"Status (Operational, Operational with Continued Construction, Under Construction, Before Construction, Unclear, Stalled)",Year Operations Began,Year Construction Began,Year Founded ,Dispute,Dispute Explanation,Environmental Concerns,Mention of renewable energy,Electric Vehicle (Production Mentioned),Nickel,Main Industry,Main Industry Notes,August 2023 Sentinel Check
Kabil Integrated Industrial Park,Kabil Integrated Industrial Park,PT. Kabil Indonusa Estate,"Kabil, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,539,1.059169,104.117558,,"Kabil Integrated Industrial Estate (KIIE) manages Citramas Group’s industrial estate which consists of PT. Kabil Indonusa Estate (KIE) and PT. Kabil Citranusa (KCN). The industrial estate spans over 520 hectares of coastal waterfront land and is strategically located along Batam’s eastern seaboard. KIIE has been developed to cater to the oil & gas and energy-related industries, especially companies requiring large land plots with close access to the coast for movement of heavy and over-sized cargo.
For their efforts at developing a successful industrial estate KIIE has been awarded the 2nd Best Industrial Estate outside of Java in 2015. Additionally, the Indonesian government has gazetted KIIE a National Vital Object since 2014 in recognition of its importance and contribution to the national economy. KIIE believes in maintaining a high quality of service to tenants and conforms to ISO9001:2008 standards.",PLN Batam,,,30 MW Power Plant by PLN and connect with PLN's island wide capacity of 480 MW,30,,,https://www.kcn.co.id/,"Ably Metal Indonesia PT., Austin Engineering PT. Indonesia, Bredero shaw Indonesia PT., Citra Agramasinti
Nusantara PT., Citramadya Cargindo PT., Citra Pembina Logistik PT., Citra Pembina Pengangkutan Industries PT., Citra Shipyard PT., Pelayaran Citranstirta Tatasarana PT., Citra Tubindo Engineering PT., Citra Tubindo, Tbk PT., Dwi Sumber Arca Waja PT., Enerco RPO Internasional PT., Global Tech Systems Engineering PT., Haskon Citra Perdana PT., H-Tech Oilfield Equipment PT., IEG Oilfield Indonesia PT., Ilthabi Mandiri Teknik PT., Imeco Inter Sarana PT., Indo Matra Power PT.,  Java Star Rig PT., KPE Industries PT., KSD Indonesia PT., Multi Panel Intermitra Mandiri PT., PT. Nation Fittings Indonesia, National Industrial Gases Indonesia PT., Panggon Waja Utama PT., Sarana Citranusa Kabil PT., SMOE Indonesia PT., Suryasarana Hidupjaya PT., Telekomunikasi Indonesia Tbk PT., Tenaris (Hydril) Indonesia PT., Toyo Kanetsu Indonesia PT., Wahana Tirta Milenia PT., Yokohama Industrial Products Manufacturing Indonesia PT., Conocophilips Indonesia, Premier Oil Indonesia, Medco Energy, Inpex Masela, Petronas Carigali, Lundin Tuna B.V, Bank BNI 46, Tbk PT, Bank CIMB Niaga, Tbk PT., Bank Mandiri, Tbk PT., Binajasa Abadikarya PT. (BPJS/Rusunawa), RS. Soedarsono Darmosoewito, Citra Graha Pertiwi PT. (Citra Aerolink), Trias Jaya Propertindo PT. ",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation,Operational,1990,,,,,,,,,Oil and Gas,Oil & Gas Industries,
West Point Maritime Industrial Park,West Point Maritime Industrial Park,PT. Batam Sentralindo,"Tanjung Pinggir, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,240,1.127627,103.924877,,"Westpoint Maritime Industrial Park is a 401- hectares integrated industrial park located at Batam Island - Indonesia. It is being competitively developed for oil and gas industries, including for refinery, bulk-liquid storage terminal, LNG terminal, petrochemicals complex, and power plant. It enjoys various investment incentives with its Free Trade & Free Port Zone (FTZ) status and receives a KLIK-certification from BKPM for a Direct Investment Facility Construction program.
The location is strategically located within 3 nautical miles from the principal channel of Strait of Malacca, enjoying a unique position that covers the market of Southeast Asia, Northeast Asia and Middle East. The industrial estate will have guaranteed supply of natural gas feedstock from the Natuna Sea gas field via gas pipeline of West Natuna Transportation System (WNTS).",N/A,,,N/A,,,,N/A,,"https://www.trenasia.com/westpoint-maritime-industrial-park-wmip-supports-oil-and-gas-investment-in-ftz-batam
http://www.sinopec.com.hk/en/getNewsDetailAction.do?target=GuandeNews&key=0CB5E06342EE06BF0A51718D677BB0AE",China,,"Sinopec project:
""The Company held 95% equity in PWT through Sinomart KTS Development, a subsidiary of the Company. The business purpose of PWT is to develop, manage and operate an oil storage and oil blending complex and the supporting quay and port facilities with total capacity of 2,600,000 m3, and undertake waterway-dredging in the West Point Maritime Industrial Park, Batam Island, Indonesia.""
http://www.sinopec.com.hk/en/getNewsDetailAction.do?target=GuandeNews&key=0CB5E06342EE06BF0A51718D677BB0AE","Stalled. In 2020, it was reported that development of an oil refinery at the industrial estate had been stalled since 2012.
Trenasia, August 2020: ""The Coordinating Ministry (Kemenko) for the Economy asked Sinopec Group to immediately realize the construction of an oil depot which has been stalled for 8 years in Batam, Riau Archipelago.
""Sinomart KTS Development Ltd or a subsidiary of Sinopec and PT Batam Sentralindo have agreed to continue the investment plan for the construction of an oil depot in Batam,"" said Secretary of the Coordinating Ministry for Economic Affairs Susiwijono in Jakarta, Saturday, August 1 2020.
The agreement, said Susi, had been contained in a memorandum of understanding (MoU) signed by both parties on July 29, 2020. On this occasion, his party was also present as a witness as well as a form of escort for the realization of the oil depot project.
""The Coordinating Ministry for the Economy and BP Batam acted as mediators for the two companies. We will continue to oversee the preparation process until the physical construction so that it can be carried out immediately,"" he added.

Trenasia, June 2020: ""We have developed WMIP industrial estate with its strategic and geographic advantages in Batam. Some 75 hectares in WMIP have already been leased by Sinopec Group for the development of oil storage terminal with capacity of 2,6 million m3, explained Paulus Khierawan, Senior Manager at PT. Batam Sentralindo in Batam, June 14, 2020.
Paulus explained, the location of WMIP industrial estate is approximately 4,8 km from the Strait of Malacca with sea depth of 23 – 25 metres. Due to its competitive advantages, WMIP can accommodate 300,000-DWT VLCC – Very Large Crude Carrier. In line with the company’s Industrial Estate Business License (IUKI), the integrated industrial park can be developed up to 320 hectares.
There are 245 hectares of land area currently in preparation at WMIP which are suitable for the development of oil refinery and its downstream integration such as petrochemicals, and even methanol plants which utilize natural gas as feedstock from the nearby Natuna Islands. As developer, we welcome oil and gas investors to Batam which also has its incentives with its Free Trade and Free Port Zone (FTZ) status,” Paulus explained.",Stalled,,,,,,,,,,Petrochemical,"oil and gas, petrochemicals, methanol",
Executive Industrial Park,Executive Industrial Park,PT. Bumi Abadi Tegar Sakti,"Belian, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,20.83,1.112924,104.060281,,N/A,PLN  ,,," 2,500,00 VA
Per real estate listing, 245 kva
https://batampro.com/property/dijual-gudang-industri-di-kara-industrial-park-batam/",0.25,,,N/A,"Elite Packaging Indonesia PT., Subsea Services Indonesia PT., Shapeshell PT., Pura Jaya Makmur PT., Casco Sea PT., Bapak Iwan Kurniawan, Sanria Jaya Abadi PT., Flo Bend PT., Ibu Fylsia, Bapak Januan, Bapak Sumitro, Jaya Metal Teknika PT., Duta Dimensi PT., Cahaya Mulia Sukses PT., Multiboga Arya Sentosa PT., Anugerah Sahabat Marina PT., Duta Multi Karya PT., Circleka Indonesia PT., Alfa Scorpii PT., Menara Mega Sakti PT., Octagon Precision Indonesia PT., Agung Jasa Jaya PT., Gembira PT., Roteq PT., Bumi Lestari Kencana Pusaka PT., Tanjung Uncang PT., Roteq PT., Gembira PT., Bumi Lestari Kencana Pusaka PT., Aceplas Indonesia PT.,  Tandy Jaya Lestari PT., Sarang Mas PT., Sukses Perkasa Mandiri PT, Uconnect Electronics PT., Parit Padang Global PT., Tirtakencana Batamindo PT., Bintang Lestari Sejahtera CV., Sarang Mas PT., Sarang Mas PT., Batam Prima Perkasa, Global Rising Technologies Perkasa, Plasmotech Batam PT., Goldhill Industries PT., Superpakindo Manufacturing PT.       ",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation,Operational,2005,,,,,,,,,Petrochemical,"Mix - Packaging, Oil & Gas, Building, Food, Plastic, Perfume, Compressor and Gas, Garment, Cigarette, Pharmacy, Warehouse",
Sarana Industrial Point (SIP),Sarana Industrial Point,PT. Pertama Sarana Unggulan,"Baloi Permai, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,17.5,1.104741,104.07185,,"Sarana Industrial Point (SIP) is located in Batam Centre, a land bank in Batam in the heart of the island where all government buildings are situated.
SIP is surrounded by an estimated one thousand new houses and factories, and is just within 5 minutes from the Batam Centre passenger ferry terminal. SIP is currently operating 12 ha of land with 38 factory units.
SIP offers as spectrum of factory designs and sizes. Ranging from 576m2 to 1728m2 of factory buildings, SIP is designed as a self-sufficient integrated industrial park that is suitable for any industry and warehousing.
All factory buildings are designed to meet the needs of modern companies to expand their business opportunities",PT. PLN Batam,,,100 MW,100,,,https://www.psubatam.com,"Alcotraindo Batam PT., Sindo Megah Lestari PT., Kartinba Indah PT., Pradana Indah Sejahtera PT., Surya Masterindo PT., Lim Siang Huat Keprindo PT., Advanced Packaging Solution PT., Reco Engineering PT., Geflex Indonesia PT., HM Sampoena.Tbk PT., Propan Raya ICC PT., Tiki Jalur Mugraha Eka PT., LB Tecnologies Batam PT., Topus International PT., Cendana Han Wijaya PT., Altrak 1978 PT., Jerapah Polyplast Industry CV, Worn 2 Win PT., Mandiri Gifha Nusantara PT, BEC Spesialist Batam PT, Stanco Ekatehnik Surya PT., International Paint Indonesia PT., Safeman Garment Batam PT., Ipin Denko PT., Well Chois Indonesia PT., Sasjati Era Mas PT., Magnastark Indonesia Jaya       ",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdff,N/A,,,In operation,Operational,2005,,,,,,,,,Mixed/General,"Mix - Warehouse, Packaging, Cigarette, Beverage, Engine Parts, Painting, Aluminum, Heavy Equipment, Paint, Garment, Textile, Oil",
Kawasan Industri Sekupang Makmur Abadi / Sekupang Logistic,Kawasan Industri Sekupang Makmur Abadi,PT Sekupang Makmur Abadi,"Tanjung Pinggir, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,32,1.129280088,103.9245669,,,PLN,,,900 KVA,0.9,,,http://www.sekupanglogistics.com/ ,"RPC Indonesia PT., Neptune Subsea PT., MAATS Batam PT., EPCM SDJ, Joe Green, Iteco Supply, Nico Drilling, Kertas terpadu Batamindo PT., Nusantara Baja International PT.   ","https://direktori.batam.go.id/index.php/bn/ads/584ccb717f5ad/kawasan_industri_berat/Sekupang-Logistics
https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://www.linkedin.com/company/pt-sekupang-makmur-abadi/about/",N/A,,,In operation,Operational,1984,,,,,,,,,Manufacturing,"Mix - Fiberglass fabrication, Marine Parts, Tractor",
Cammo Industrial Park,Cammo Industrial Park,PT. Aaman Properti,"Baloi Permai, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,18,1.112667,104.046558,,N/A,Electicity available,,,N/A,,,6.8058,N/A,"Amtek Engineering Batam PT., Aman Sejati Propertindo PT., Ampway Stationary Manufacturing PT., Asahi Spray Painting PT.,   Batam Bersatu Aparel PT., Berkat Batam Pl, OHL GlobalForwarding PT., Ethic Food PT., Golden Power Beverages PT., Harada Indonesia PT., Jinfindo PT., JMS Batam PT., Leadon International PT., Leon Teknologi Global PT., Lestari MandiriJaya PT., Madeira Indonesia PT., Mitra lndodist Sejahtera PT., Osi Electronic PT., Pan Baruna PT., Peparindo PT., PNBC Indonesia PT., Pratama Engineering Supplies PT., Pro Pack Industries PT., Sinar Inter Plast PT., Sinometal Stamping PT., Sin Lee Manufacturing PT., Starmara Pratama PT., Trijaya TBK PT., Top Foam Batam PT, Tropolis Jaya Abadi PT.","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://direktori.batam.go.id/index.php/id/ads/584bd92248964/Kawasan-Industri-Ringan/Cammo-Industrial-Park",N/A,,,"In operation, 100% filled with tenants",Operational,1995,,,,,,,,,Mixed/General,"Mix - Metal, Real Estate, Paint, Garment, Trade, Food & Beverage, Furniture, Electronics, Cigarettes, Plastic",
Citra Buana Industrial Park I,Citra Buana Industrial Park I,PT. Citra Buana Prakarsa,"Bengkong Laut, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,10,1.153021,104.020273,,N/A,N/A,,,2000 KVA,2,,,http://citrabuanaprakarsa.com/,"Awatronics Manufacturing PT., Amcor Indonesia PT., Jiarmah Global PT., Balindo Citra Perdana PT., Batam Niaga Perkasa PT., Batam Bangun Pratama PT., Batam Motor Sejahtera PT., Batindo Utama PT., Barmah Asia PT, Bintang Lima PD., Chuck Engineering PT., Cahaya Sentosa CV., Central Batam Raya PT., Excellence Nusantara Batam PT., Enseval Putera Mega Trading PT., FMS Hospitality Batam PT., Goodwill PT., Global Master PT., Golden Visalux PT., Golden Batam Raya PT., Great Dynamic Indonesia PT., Hong Yang Indonesia PT., Indora Jaya UD., Karya Sempurna Abadi PT., Label Zone PT., Marga Nusantara Jaya PT., Multi Karya Bajatama PT., Multi Boga Arya Sentosa PT., Multi System PT, Massco Enterprise PT., Panca Karya Itipiso PT., Putra Lintas Samudra PT., Rintis Sejahtera CV., Sri Batam Raya PT, Sinar Baru Utama Jaya PT., Sempurna Anugerah Abadi PT., Stainless Indah Mandiri PT., Trio Karya Kencana PT., Turbo Diesel International PT, Tarpon Energy Services Indonesia PT, Union Jaya Industries PD., Wellyson Arta PT",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation,Operational,1994,,,,,,,,,Mixed/General,"Mix - Electronics, Metal & Steel, Building Material, Consumer Goods, Printing, Pharmaceuticals, Electrical Equipment Supply, Metal Workshop & Fabrication",
Citra Buana Industrial Park II,Citra Buana Industrial Park II,PT. Citra Buana Batam Industri,"Tanjung Sengkuang, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,10,1.166751,104.011915,,N/A,N/A,,,4000 KVA,4,,,http://citrabuanaprakarsa.com//,"Allbeta Binding PT, Central Jaya Sentosa PT, Giken Precision Indonesia PT, Hantong Precision Manufacturing PT, NSP Technology Batam PT, Sefong Industries PT, Seraya Makmur Perdana PT, Super Bintang Sejahtera PT",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdff,N/A,,,In operation,Operational,2002,,,,,,,,,Mixed/General,"Mix - Metal & Steel Fabrication, Plastic Injection Moulding, Tape, Consumer Goods, Home Appliance Distributor",
Citra Buana Industrial Park III,Citra Buana Industrial Park III,PT. Citra Buana Prakarsa,"Belian, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,20,1.110671,104.062898,,N/A,N/A,,,10 MW,10,,,http://citrabuanaprakarsa.com/,"Amtek Precision Components PT., Amtek Plastic Batam PT., Asia Paramita Indah PT., Asiatech Recyclindo PT., Alcotraindo Batam PT., Bina Mulia Perkasa PT., Citra Utama Distribusindo Raya PT., Goldwell Plastic Batam PT., Gunung Kawi PT., Leadon International PT., Megah Technology Batam PT., Media Kreasi Bangsa CV, Nusanheli PT., Orion Indonesia PT., Petrus Indonesia PT., Rock International Tobacco PT., SP Manufacturing PT., SM Engineering PT., Suntech Plastic Industries Batam PT, Sumber Flora Khatulistiwa PT., Tasindo Utama Indah PT., TCF Maju PT.",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation,Operational,2002,,,,,,,,,Mixed/General,"Mix - Precision Machining, Plastic Injection Moulding, Cosmetics, Cigarettes, Building Material, Consumer Goods, Food, Marine Equipment, Electronics Manufacturing",
Hijrah Industrial Park,Hijrah Industrial Park,PT Hijrah Karya Mandiri,"Baloi Permai, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,64,1.115509,104.048972,,N/A,PLN,,,N/A,,,24.1984,N/A,"PT. Gajah Izumi Mas Perkasa, PT. Global Izupolyndo, PT. Panca Mitra Niaga, PT. Inti Mitra Mandiri, PT. Eon Chemicals Putra, PT. Barokah Utama Batam, PT. Nejilock Technologyndo, PT. Berkat Anatasia, PT. Racer Technology Batam, PT. Berman Surya Gemilang, PT. Es Hupindo, PT. Indomarco Prismatama, PT. Tectron Manufacturing, PT. Wisetronics Manufacturing Indonesia, PT. Indo Kreasi Grafika, Bp Yadi, PT. Sindo Makmur Sentosa, PT. Metal Batam, PT. Bingas Manufacturing, PT. Cheng Heng Paper Product",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation,Operational,2002,,,,,,,,,Mixed/General,"Mix - Drinking water packagaing, Food, Warehouse, Chemical, Plastic, Transport, Gas, Packaging",
Indah Industrial Park,Indah Industrial Park, PT. Teluk Pantaian Indah,"Kampung Pelita, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,16,1.136379884,104.0227686,,,,,,,,,6.0496,,"PT. Utama Dwibaja Semesta, TNT/PT. Skypak International Express, PT. Rodamas Makmur, Toko Wira Utama, PT. Ndexindo Mandiri Indonesia, PT. Prima Niaga Indomas, PT. Cinderella, PT. Indomarco Adi Prima, PT. Rodamas Makmur Motor, PT. Lumbung Rezeki Nusantara, PT. Sat Nusa Persada, Imron Ali, PT. Srijaya Karya Makmur","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://direktori.batam.go.id/index.php/id/ads/584c924e2a3e0/Kawasan-Industri-Ringan/Indah-Industrial-Park",N/A,,,"In operation. 
Batam Industrial Estate E-Book (bpbatam.go.id), 2022: ""Indah Industrial Park was established in 2000 in an area of ​​16 Ha. 10 Ha has been built and filled by 21 tenants. The facilities available in this industrial area are a canteen, mini market and playground.""",Operational,2000,,,,,,,,,Mixed/General,"Mix - Warehouse, Food, Iron, Trade",
Kara Industrial Park,Kara Industrial Park,PT Kara Primanusa,"Baloi Permai, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,19,1.110724,104.044924,,,PLN,,,,,,7.1839,N/A,"Apollo PT, Atech Electronic Indonesia PT, AV Plastik Indonesia PT, Batam Master Indonesia PT, Buana Aneka Jaya PT, Eng Ngiap Plastronic PT, Escotama Handal PT, Glopack Packaging PT, Green Flexible PT, Hoseng PT, Image Maju Batam PT, Kara Primanusa PT, Mega Prima Perkasa PT, Raising Global Internasional CV, Rexawijaya Sakti PT, Radiator & Cooler PT, Sindo Sahabat Sejahtera PT, Super Box PT, Sinbat Jaya PT, Sinar Indah PT, Schrithmann Indonesia PT, Uni Meltatech Industry PT, Tan Indo Sukses PT, Xuzhou Engineering PT","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://kfmap.asia/industrial/kara-industrial-park-13164
https://direktori.batam.go.id/index.php/id/ads/584ca0670203f/Kawasan-Industri-Ringan/Kara-Indrustrial-Park",N/A,,,"In operation.
Batam Industrial Estate E-Book (bpbatam.go.id), 2022: ""Kara Industrial Park was founded in 1996 in an area of ​​19 hectares and is occupied by 35 tenants.
The facilities available in this industrial area are Canteen, Supermarket and Foodcourt.
While the infrastructure and facilities available are electricity, ATB, and Telkom.""",Operational,1992,,,,,,,,,Mixed/General,"Mix - Warehouse, Electronic Manufacture, Machine, Plastice, Packaging, Ceramic, Glass, Steel",
Kawasan Industri Malindo Cipta Perkasa,Kawasan Industri Malindo Cipta Perkasa,PT. Malindo Cipta Perkasa,"Tanjung Sengkuang, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,23,1.16554962,104.0117723,,"Malindo Industrial Park is one of the well-known industrial areas in KPBPB Batam. Located in Tanjung Sengkuang, Batu Ampar, Malindo Industrial Park is only 5 minutes from Batu Ampar Harbor, making it a very strategic location for doing business.

As one of the well-established industrial areas in Batam, Malindo Industrial Park has been operating since 1996. State investors in Malindo Industrial Park come from Singapore and Indonesia with a total investment value of more than 10 billion Rupiah. The industries in this industrial area are engaged in the business sector of the textile industry and textile products as well as the electronics and electrical industries.

The industrial area founded by PT Malindo Cipta Perkasa was established with industrial building facilities supported by an ATM Center, prayer area, canteen, adequate parking area, and a beautiful garden with a 24-hour integrated security system. In addition, Malindo Industrial Park also provides supporting infrastructure, including electricity supply from PLN, clean water supply from the Drinking Water Treatment System (SPAM), and telecommunication and internet networks.",PLN,,,Direct from PLN,,,8.6963,"https://pusbang.bpbatam.go.id/detailpost/profil-malindo-industrial-park 
(this is not company website, but profile on Kawasan Ekonomi Khusus Batam)","Cakrawala Kertas PT., Graha Sembada, Bina Niaga Ind PT, Vin Jaya Utama PT., Toko Sinar Bulan, Indorig Cipta P. PT., Ricky Toy CV., Sinbat PT, Graha Aneka Niaga PT., Peter Garmindo PT, Trio Ciptra Gemilang PT.,  Alpha Aneka PT, Duta Perkasa Jaya PT.,  Dwi Putra Agung PT., Wajah Baru Perkasa PT, Sarana Niaga CV, Nongsa Jaya PT, Fuji Star & Concord PT, Batam Trading PT, Tanindo Sentosa PT, Elsindo int persada PT, Marga Nusantara J PT., Dwi Putra Tunggal PT, Anugerah Perkasa S PT,  Thermo Karya PT ","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://pusbang.bpbatam.go.id/detailpost/profil-malindo-industrial-park",N/A,,,In operation,Operational,1996,,,,,,,,,Mixed/General,"Mix - Paper, Food, Garment, Warehouse, Furniture, Beverage, Bike Assembly, Plastic, Ceramic, Pharmacy, Manufacturing",
Mega Cipta Industrial Park,Mega Cipta Industrial Park,PT. Mega Cipta Adi Persada,"Batu Merah, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,5,1.178047761,104.0103648,,,PLN,,,,,,1.8905,,"Achua, Aheng, Akhun, Adi BJ PT, Aliong PT, Amat, Aseng, Asia Sukses S, Achuan Indo Keramik, Alk Moh Chemicals Indonesia PT, Batam Usaha MK PT,  Boonmeng Engineering Indonesia PT, Cahaya Listrik, Djitoe Mesindo PT, Era Cinta Indonesia PT, Edaran Profab PT, Eka Prima Grafikatama PT, Era Cinta Indonesia PT, Hartono Salim, Jemix Indonesia PT, Jeo Sio Keng, Kapal Tengker, Karya Plastik Utama PT, K&B Precision PT, Mitra Abadi Kiat Perkasa PT, Multi Cahaya Grasindo PT,  Melco Steel PT,  Naga Jaya PT, Prima Surya Sejahtera PT, Selatindo Batam Mandiri PT, Sinar Batam Gratindo PT, Total Depo Logistik PT, Yapindo Mitra PT","https://kfmap.asia/industrial/mega-cipta-industrial-park-13350
https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://direktori.batam.go.id/index.php/id/ads/584cc0cf47025/Kawasan-Industri-Ringan/Megacipta-Industrial-Park",N/A,,,"In operation. 
Batam Industrial Estate E-Book (bpbatam.go.id), 2022: ""Megacipta Industrial Park was established in 1997 on an area of ​​435 sqm. 330 sqm has been built and filled by 19 tenants.
The available infrastructure and facilities are electricity, ATB, and Telkom.""",Operational,1994,,,,,,,,,Mixed/General,"Mix - Warehouse, Plastic, Steel, Chemicals, Heavy Equipment, Printing, Warehouse, Consumer Goods, Plastic Bag, Food",
Taiwan International Park,Taiwan International Park,PT. Sigma United Internasional,"Kabil, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,54,1.098093,104.120436,,"Taiwan International Park is developed by PT. Sigma United International, and it was established in 1990, with a total area of 54 ha. 79% (42.7 ha) of the area has been built and filled by 23 tenants. Taiwan International Park is located 20 km away from Batam Centre, and 9 km from Hang Nadim Airport. The estate provides the following supporting facilities: - Commercial facilities: flat for employees & canteen - Social facilities: street light, garden asphalt and road, companies name plates - Security facilities: 24 hour, security system, and security gate-post - Gas: by PT PGN. Taiwan International Park also offers several types of building that can be rented: - Type A: 7,982 m2 - Type B: 7,110 m2 - Type C: 5,846 m2",Bright PLN,,,,,,20.4174,N/A,"Nusantara Baja International PT., PT Adi Protek Envirodunia, PT Anecan Pratama Jaya, PT Batam Kuarsa Industri, PT Batam Sentosa Jaya, PT Batam Feed Mill, PT Berkat Batam Nusantara, PT Beta Engineering, PT First Filter, PT Hokindo Eka Tehnik, PT Hanfel Detaris, PT James Product Company, PT Kabil Citra Nusa, PT Kemenangan, PT Lhei Anuek Seulawah, PT Mitra Mandiri Industri, PT Nam Seng Indonesia, PT Reka Sukses, PT Passion Plastics Adipratama, PT Royce Enterprise CO, PT Servotech Indonesia, PT Singatin, PT Siantar Tiara Estate, PT Tosan Aji Mumpuni, PT Toyoshima Indonesia, PT UTD Creation Packaging Solutions, PT Waen Indonesia        ","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://business-indonesia.org/files/estates/qygTcIsOTjUDMQU2qcqx7MEOejKDmVcruYVgPC8h.pdf",N/A,,,"In operation.
Batam Industrial Estate E-Book (bpbatam.go.id), 2022: ""Taiwan International Park is developed by PT. Sigma
United International, and it was established in 1990,
with a total area of 54 ha. 79% (42.7 ha) of the area has
been built and filled by 23 tenants. Taiwan International
Park is located 20 km away from Batam Centre, and 9 km
from Hang Nadim Airport."" ",Operational,1990,,,,,,,,,Mixed/General,"Mix - Scrap metal, compress gas, pipe, warehouse, rubber, warehouse, plastics recycling",
Tunas Industri Kabil,Tunas Industri Kabil,PT. Rancha Cakra Semestas,"Kabil, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,26,1.058940569,104.1260548,,"In 2018, Tunas Group has opened a new industrial estated which is situated on the east side of Batam island, District named as Kabil. Kabil district have always been an industrial area for heavy industries such as piping companies, oil companies and palm oil producers, etc. Tunas Kabil Industrial estate is situated along the main artery road of kabil making it very accessible and easy to find.

Tunas Kabil has a total of 29.7 ha of land area for industrial use. Tunas Kabil hopes to be able to work together with foreign investors and lending foreign investors a hand in setting up their factory.

",,,,,,,9.8306,https://tunasindustrial.com/en/tunas-kabil-industrial/,"(Google Maps): PT. Tunas Mitra Jaya, Gudang Asia Cocoa, PT Corum, PT. Anugrah Sejahtera Makmur, PT. Broad Far Indonesia, PT Accord Mandiri Batam, PT. Warlbor International Indonesia, PT Nusanheli",https://tunasindustrial.com/en/tenants/,N/A,,,"In operation.
Tunas Industrial Website: ""In 2018, Tunas Group has opened a new industrial estated which is situated on the east side of Batam island, District named as Kabil. Kabil district have always been an industrial area for heavy industries such as piping companies, oil companies and palm oil producers, etc. Tunas Kabil Industrial estate is situated along the main artery road of kabil making it very accessible and easy to find.

Tunas Kabil has a total of 30 ha of land area for industrial use. Tunas Kabil hopes to be able to work together with foreign investors and lending foreign investors a hand in setting up their factory.""

",Operational,2018,,,,,,,,,Mixed/General,"(Google Maps): PT. Tunas Mitra Jaya - duct tape and plastic wrapping, packing machinery
Gudang Asia Cocoa - food
PT Corum -plastic jerrycan manufacturing company
PT. Anugrah Sejahtera Makmur - support for mining and drilling industry (manufacturing)
PT. Broad Far Indonesia - tobacco
PT Accord Mandiri Batam -printing and paper box
PT. Warlbor International Indonesia - cigarrette manufacturer
PT. Nusanheli - Plastic materials",
